CustomerKey,Name,Birth Year,Gender,EmailAddress,Region,Education,Income Level,TotalChildren,Revenue,Profit,Orders,CLV,Offline for?
11000,Mr. Jon Yang,1966,M,jon24@adventure-works.com,Australia,Undergrad,Average,2,$4656.4,$1960.1,2.0,$1568.0632,238
11001,Mr. Eugene Huang,1965,M,eugene10@adventure-works.com,Australia,Undergrad,Average,3,$2821.2,$1255.5,2.0,$1150.8482,18
11002,Mr. Ruben Torres,1965,M,ruben35@adventure-works.com,Australia,Undergrad,Average,3,$4466.8,$1867.0,2.0,$933.5184,307
11003,Ms. Christy Zhu,1968,F,christy12@adventure-works.com,Australia,Undergrad,Average,0,$4533.0,$1903.0,2.0,$1522.3694,231
11004,Mrs. Elizabeth Johnson,1968,F,elizabeth5@adventure-works.com,Australia,Undergrad,Average,5,$4568.1,$1926.7,2.0,$1541.388,240
11005,Mr. Julio Ruiz,1965,M,julio1@adventure-works.com,Australia,Undergrad,Average,0,$4502.8,$1885.3,2.0,$1508.2293,239
11007,Mr. Marco Mehta,1964,M,marco14@adventure-works.com,Australia,Undergrad,Average,3,$4590.7,$1944.6,2.0,$1296.4112,283
11008,Mrs. Robin Verhoff,1964,F,rob4@adventure-works.com,Australia,Undergrad,Average,4,$4502.7,$1888.9,2.0,$1259.2972,300
11009,Mr. Shannon Carlson,1964,M,shannon38@adventure-works.com,Australia,Undergrad,Average,0,$4471.4,$1869.9,2.0,$1495.923,232
11010,Ms. Jacquelyn Suarez,1964,F,jacquelyn20@adventure-works.com,Australia,Undergrad,Average,0,$4459.1,$1854.2,2.0,$1483.3899,218
11011,Mr. Curtis Lu,1963,M,curtis9@adventure-works.com,Australia,Undergrad,Average,4,$4487.2,$1857.8,2.0,$1238.5587,283
11012,Mrs. Lauren Walker,1968,F,lauren41@adventure-works.com,Northwest,Undergrad,High,2,$91.2,$57.6,2.0,$50.4316,74
11013,Mr. Ian Jenkins,1968,M,ian47@adventure-works.com,Northwest,Undergrad,High,2,$41.6,$26.6,1.0,,258
11014,Mrs. Sydney Bennett,1968,F,sydney23@adventure-works.com,Northwest,Undergrad,High,3,$190.9,$117.9,2.0,$78.5927,241
11015,Ms. Chloe Young,1979,F,chloe23@adventure-works.com,Southwest,Undergrad,Low,0,$2274.4,$1080.6,1.0,,343
11016,Mr. Wyatt Hill,1979,M,wyatt32@adventure-works.com,Southwest,Undergrad,Low,0,$2088.7,$968.1,1.0,,321
11017,Mrs. Shannon Wang,1944,F,shannon1@adventure-works.com,Australia,High School,Low,4,$2835.4,$1251.7,2.0,$1126.5411,75
11018,Mr. Clarence Rai,1944,M,clarence32@adventure-works.com,Australia,Undergrad,Low,2,$2919.3,$1301.1,2.0,$1170.9965,65
11019,Mr. Luke Lal,1978,M,luke18@adventure-works.com,Canada,High School,Low,0,$961.9,$543.5,15.0,$35.2913,18
11020,Mr. Jordan King,1978,M,jordan73@adventure-works.com,Canada,High School,Low,0,$2093.1,$970.8,1.0,,363
11021,Ms. Destiny Wilson,1978,F,destiny7@adventure-works.com,Northwest,Undergrad,Low,0,$2148.0,$1005.2,1.0,,338
11022,Mr. Ethan Zhang,1978,M,ethan20@adventure-works.com,Northwest,Undergrad,Low,0,$2073.7,$955.0,1.0,,341
11023,Mr. Seth Edwards,1978,M,seth46@adventure-works.com,Southwest,Undergrad,Low,0,$142.9,$68.1,1.0,,313
11024,Mr. Russell Xie,1978,M,russell7@adventure-works.com,Southwest,Undergrad,Average,0,$78.0,$48.8,2.0,$24.4201,154
11025, Alejandro Beck,1945,NA,alejandro45@adventure-works.com,Australia,High School,Low,2,$2975.2,$1314.2,2.0,$1182.7411,64
11026,Mr. Harold Sai,1946,M,harold3@adventure-works.com,Australia,Undergrad,Low,2,$2988.8,$1342.2,2.0,$1174.4495,74
11027,Mr. Jessie Zhao,1946,M,jessie16@adventure-works.com,Australia,Undergrad,Low,2,$2998.9,$1325.3,2.0,$1104.3847,65
11028,Mrs. Jill Jimenez,1946,F,jill13@adventure-works.com,Australia,Undergrad,Low,2,$2853.3,$1259.2,2.0,$1049.3717,82
11029,Mr. Jimmy Moreno,1946,M,jimmy9@adventure-works.com,Australia,Undergrad,Low,2,$2929.4,$1286.0,2.0,$1102.2906,47
11030,Mrs. Bethany Yuan,1947,F,bethany10@adventure-works.com,Australia,High School,Low,2,$2831.1,$1240.3,2.0,$992.2775,49
11031,Mrs. Theresa Ramos,1947,F,theresa13@adventure-works.com,Australia,High School,Low,4,$2839.0,$1250.3,2.0,$1000.2252,45
11032,Mrs. Denise Stone,1947,F,denise10@adventure-works.com,Australia,High School,Low,4,$2954.5,$1317.6,2.0,$988.2338,50
11033,Mr. Jaime Nath,1947,M,jaime41@adventure-works.com,Australia,High School,Low,4,$2892.7,$1279.5,2.0,$959.5996,53
11034,Mrs. Ebony Gonzalez,1947,F,ebony19@adventure-works.com,Australia,High School,Low,4,$2845.4,$1236.6,2.0,$927.4584,48
11035, Wendy Dominguez,1948,NA,wendy12@adventure-works.com,Australia,High School,Low,2,$2832.7,$1246.3,2.0,$830.896,43
11036,Ms. Jennifer Russell,1978,F,jennifer93@adventure-works.com,Southwest,Undergrad,Average,0,$2105.1,$975.2,1.0,,339
11037,Ms. Chloe Garcia,1977,F,chloe27@adventure-works.com,Canada,High School,Low,0,$2182.3,$1026.7,1.0,,341
11038,Mrs. Diana Hernandez,1948,F,diana2@adventure-works.com,Australia,High School,Low,2,$2813.8,$1234.5,2.0,$822.9793,46
11039,Mr. Marc Martin,1948,M,marc3@adventure-works.com,Australia,Undergrad,Low,3,$3040.9,$1366.8,2.0,$911.1698,47
11040,Mr. Jesse Murphy,1977,M,jesse15@adventure-works.com,Northwest,Undergrad,Low,0,$2133.4,$992.3,1.0,,268
11041,Ms. Amanda Carter,1977,F,amanda53@adventure-works.com,Southwest,Undergrad,Average,0,$2134.6,$996.8,1.0,,347
11042,Ms. Megan Sanchez,1977,F,megan28@adventure-works.com,Southwest,Undergrad,Average,0,$2861.8,$1250.8,2.0,$1125.7307,72
11043,Mr. Nathan Simmons,1976,M,nathan11@adventure-works.com,Southwest,Undergrad,Average,0,$60.3,$32.8,2.0,$24.5876,131
11044,Mr. Adam Flores,1949,M,adam10@adventure-works.com,Australia,High School,Low,2,$2908.4,$1276.0,2.0,,50
11045,Mr. Leonard Nara,1950,M,leonard18@adventure-works.com,Australia,High School,Low,3,$141.7,$75.5,2.0,$66.0576,60
11046,Mrs. Christine Yuan,1950,F,christine4@adventure-works.com,Australia,High School,Low,3,$3015.9,$1359.2,2.0,,46
11047,Mrs. Jaclyn Lu,1950,F,jaclyn12@adventure-works.com,Australia,High School,Low,3,$2933.8,$1309.6,2.0,,39
11048,Mr. Jeremy Powell,1950,M,jeremy26@adventure-works.com,Australia,High School,Low,3,$2908.6,$1271.2,2.0,$635.5987,3
11049,Ms. Carol Rai,1980,F,carol8@adventure-works.com,Southwest,High School,Low,0,$96.5,$60.4,2.0,$53.7075,60
11050,Mr. Alan Zheng,1951,M,alan23@adventure-works.com,Australia,High School,Low,3,$1652.9,$719.5,2.0,$639.5585,39
11052,Mrs. Heidi Lopez,1951,F,heidi19@adventure-works.com,Australia,Undergrad,Low,2,$4519.1,$1899.8,2.0,$1519.8011,214
11053,Ms. Ana Price,1980,F,ana0@adventure-works.com,Southwest,Undergrad,Average,0,$2082.7,$964.9,1.0,,344
11054,Mrs. Deanna Munoz,1952,F,deanna33@adventure-works.com,Australia,Undergrad,Low,2,$4577.1,$1914.2,2.0,$1595.1379,211
11055,Mr. Gilbert Raje,1952,M,gilbert35@adventure-works.com,Australia,Undergrad,Low,2,$4557.1,$1919.8,2.0,$1535.879,203
11056,Mrs. Michele Nath,1953,F,michele19@adventure-works.com,Australia,Undergrad,Low,3,$4596.6,$1922.3,2.0,$1537.8554,210
11057,Mr. Carl Andersen,1953,M,carl12@adventure-works.com,Australia,Graduate,Average,2,$4464.5,$1861.3,2.0,$1489.0588,220
11058,Mr. Marc Diaz,1954,M,marc6@adventure-works.com,Australia,Undergrad,Average,2,$4598.1,$1924.2,2.0,$1603.4613,206
11059,Mrs. Ashlee Andersen,1954,F,ashlee19@adventure-works.com,Australia,Undergrad,Average,2,$179.2,$85.8,3.0,$21.4602,286
11060,Mr. Jon Zhou,1954,M,jon28@adventure-works.com,Australia,Undergrad,Average,2,$4523.4,$1898.2,2.0,$1581.8549,185
11061,Mr. Todd Gao,1954,M,todd14@adventure-works.com,Australia,Undergrad,Average,2,$4520.4,$1896.4,2.0,$1580.2953,196
11062,Mr. Noah Powell,1975,M,noah5@adventure-works.com,Northwest,High School,Low,0,$2126.7,$992.4,1.0,,354
11063,Ms. Angela Murphy,1975,F,angela41@adventure-works.com,Northwest,High School,Low,0,$2155.3,$983.5,1.0,,349
11064,Mr. Chase Reed,1975,M,chase21@adventure-works.com,Southwest,High School,Low,0,$2069.1,$955.8,1.0,,336
11065,Ms. Jessica Henderson,1973,F,jessica29@adventure-works.com,Southwest,Undergrad,Average,0,$198.6,$124.3,1.0,,320
11066,Ms. Grace Butler,1973,F,grace62@adventure-works.com,Northwest,Undergrad,Average,0,$87.2,$55.1,2.0,$41.354,100
11067,Mr. Caleb Carter,1976,M,caleb40@adventure-works.com,Northwest,Undergrad,Average,0,$10.3,$6.4,1.0,,131
11068,Mrs. Tiffany Liang,1955,F,tiffany17@adventure-works.com,Australia,High School,Average,2,$204.8,$126.4,3.0,$52.6725,81
11069,Mrs. Carolyn Navarro,1955,F,carolyn30@adventure-works.com,Australia,High School,Average,2,$4455.5,$1855.7,2.0,$1546.4132,206
11070,Mr. Willie Raji,1955,M,willie40@adventure-works.com,Australia,High School,Average,2,$4547.2,$1916.8,2.0,$1597.32,184
11071,Mrs. Linda Serrano,1955,F,linda31@adventure-works.com,Australia,High School,Average,2,$168.8,$84.3,3.0,$37.9184,27
11072,Mrs. Casey Luo,1955,F,casey6@adventure-works.com,Australia,High School,Average,2,$4581.4,$1913.1,2.0,$1594.2794,195
11073,Mrs. Amy Ye,1956,F,amy16@adventure-works.com,Australia,High School,Average,2,$231.5,$119.7,3.0,$49.8656,128
11074,Mr. Levi Arun,1956,M,levi6@adventure-works.com,Australia,High School,Average,2,$139.1,$87.6,3.0,$29.2114,214
11075,Mrs. Felicia Jimenez,1957,F,felicia4@adventure-works.com,Australia,High School,Average,2,$4470.1,$1868.6,2.0,$1557.1257,186
11076,Mr. Blake Anderson,1957,M,blake9@adventure-works.com,Australia,High School,Average,2,$4510.5,$1890.1,2.0,$1575.0996,189
